name,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Benares (a),Valid,LL4,3700,Fell,01/01/1798 12:00:00 AM,25.36667,82.91667,"(25.366670, 82.916670)"
Benguerir,Valid,LL6,25000,Fell,01/01/2004 12:00:00 AM,32.25,-8.15,"(32.250000, -8.150000)"
Beni M'hira,Valid,L6,19000,Fell,01/01/2001 12:00:00 AM,32.86667,10.8,"(32.866670, 10.800000)"
Benld,Valid,H6,1770.5,Fell,01/01/1938 12:00:00 AM,39.08333,-89.15,"(39.083330, -89.150000)"
Benoni,Valid,H6,3880,Fell,01/01/1943 12:00:00 AM,-26.16667,28.41667,"(-26.166670, 28.416670)"
Bensour,Valid,LL6,45000,Fell,01/01/2002 12:00:00 AM,30,-7,"(30.000000, -7.000000)"
Benton,Valid,LL6,2840,Fell,01/01/1949 12:00:00 AM,45.95,-67.55,"(45.950000, -67.550000)"
Berduc,Valid,L6,270,Fell,01/01/2008 12:00:00 AM,-31.91,-58.32833,"(-31.910000, -58.328330)"
Béréba,Valid,Eucrite-mmict,18000,Fell,01/01/1924 12:00:00 AM,11.65,-3.65,"(11.650000, -3.650000)"
Berlanguillas,Valid,L6,1440,Fell,01/01/1811 12:00:00 AM,41.68333,-3.8,"(41.683330, -3.800000)"
Berthoud,Valid,Eucrite-mmict,960,Fell,01/01/2004 12:00:00 AM,40.30583,-105.02325,"(40.305830, -105.023250)"
Bethlehem,Valid,H,13.9,Fell,01/01/1859 12:00:00 AM,42.53333,-73.83333,"(42.533330, -73.833330)"
Beuste,Valid,L5,2000,Fell,01/01/1859 12:00:00 AM,43.21667,-0.23333,"(43.216670, -0.233330)"
Beyrout,Valid,LL3.8,1100,Fell,01/01/1921 12:00:00 AM,33.88333,35.5,"(33.883330, 35.500000)"
Bhagur,Valid,L6,18,Fell,01/01/1877 12:00:00 AM,20.88333,74.83333,"(20.883330, 74.833330)"
Bhawad,Valid,LL6,678,Fell,01/01/2002 12:00:00 AM,26.50833,73.11528,"(26.508330, 73.115280)"
Bherai,Valid,L6,100,Fell,01/01/1893 12:00:00 AM,20.83333,71.46667,"(20.833330, 71.466670)"
Bhola,Valid,LL3-6,1047,Fell,01/01/1940 12:00:00 AM,22.68333,90.65,"(22.683330, 90.650000)"
Bholghati,Valid,Howardite,2500,Fell,01/01/1905 12:00:00 AM,22.08333,86.9,"(22.083330, 86.900000)"
Bialystok,Valid,Eucrite-pmict,4000,Fell,01/01/1827 12:00:00 AM,53.1,23.2,"(53.100000, 23.200000)"
Bielokrynitschie,Valid,H4,1900,Fell,01/01/1887 12:00:00 AM,50.13333,27.16667,"(50.133330, 27.166670)"
Bilanga,Valid,Diogenite,25000,Fell,01/01/1999 12:00:00 AM,12.45,-0.08333,"(12.450000, -0.083330)"
Binningup,Valid,H5,488.1,Fell,01/01/1984 12:00:00 AM,-33.15639,115.67639,"(-33.156390, 115.676390)"
Birni N'konni,Valid,H4,560,Fell,01/01/1923 12:00:00 AM,13.76667,5.3,"(13.766670, 5.300000)"
Bishopville,Valid,Aubrite,6000,Fell,01/01/1843 12:00:00 AM,34.16667,-80.28333,"(34.166670, -80.283330)"
Bishunpur,Valid,LL3.15,1039,Fell,01/01/1895 12:00:00 AM,25.38333,82.6,"(25.383330, 82.600000)"
Bjelaja Zerkov,Valid,H6,1850,Fell,01/01/1796 12:00:00 AM,49.78333,30.16667,"(49.783330, 30.166670)"
Bjurböle,Valid,L/LL4,330000,Fell,01/01/1899 12:00:00 AM,60.4,25.8,"(60.400000, 25.800000)"
Black Moshannan Park,Valid,L5,705,Fell,01/01/1941 12:00:00 AM,40.91667,-78.08333,"(40.916670, -78.083330)"
