name,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Queen Alexandra Range 99505,Valid,H6,9.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99506,Valid,LL5,1.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99507,Valid,LL5,1.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99508,Valid,LL5,6.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99509,Valid,LL5,3.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99510,Valid,LL5,27.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99511,Valid,H6,15.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99512,Valid,H5,5.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99513,Valid,LL5,2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99514,Valid,H5,13.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99515,Valid,LL5,2.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99516,Valid,LL5,8.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99517,Valid,L3.4,1.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99518,Valid,L6,17.7,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99519,Valid,LL5,2.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99520,Valid,L5,2.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99521,Valid,L6,3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99522,Valid,LL5,2.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99523,Valid,L5,1.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99524,Valid,H5,1.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99525,Valid,LL5,2.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99526,Valid,LL5,6.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99527,Valid,LL5,7.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99528,Valid,LL5,2.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99529,Valid,H4,4.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99530,Valid,LL5,6.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99531,Valid,LL5,1.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99532,Valid,LL5,1.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99533,Valid,LL5,6.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99534,Valid,LL5,6.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99535,Valid,LL5,0.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99536,Valid,L5,0.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99537,Valid,LL5,1.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99538,Valid,H5,2.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99539,Valid,LL5,3.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99540,Valid,LL5,5.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99541,Valid,LL5,3.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99542,Valid,H6,3.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99543,Valid,LL6,0.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99544,Valid,LL5,2.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99545,Valid,LL5,2.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99546,Valid,LL6,4.7,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99547,Valid,LL5,4.7,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99548,Valid,H5,3.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99549,Valid,LL5,6.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99550,Valid,LL5,6.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99551,Valid,LL5,0.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99552,Valid,LL5,8.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99553,Valid,H5,2.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99554,Valid,LL5,5.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99555,Valid,LL5,13.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99556,Valid,H5,11.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99557,Valid,LL5,11.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99558,Valid,LL5,2.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99559,Valid,LL5,2.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99560,Valid,LL5,3.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99561,Valid,LL5,4.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99562,Valid,LL5,4.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99563,Valid,LL5,0.7,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99564,Valid,LL5,1.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99565,Valid,LL5,0.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99566,Valid,LL5,0.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99567,Valid,LL5,2.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99568,Valid,LL5,3.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99569,Valid,LL5,3.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99570,Valid,H5,13.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99571,Valid,LL6,33.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99572,Valid,LL5,25.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99573,Valid,LL5,26.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99574,Valid,LL5,10.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99575,Valid,LL5,13.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99576,Valid,LL5,55,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99577,Valid,L5,37.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99578,Valid,LL5,31.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99579,Valid,LL5,27,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99580,Valid,LL5,23,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99581,Valid,LL5,13,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99582,Valid,LL5,9.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99583,Valid,LL5,28.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99584,Valid,LL5,16.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99585,Valid,LL5,11.7,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99586,Valid,LL5,11.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99587,Valid,LL5,6.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99588,Valid,LL5,26.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99589,Valid,H6,38.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99590,Valid,LL5,1.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99591,Valid,LL5,1.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99592,Valid,LL5,2.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99593,Valid,LL5,1.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99594,Valid,L6,5.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99595,Valid,LL5,5.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99596,Valid,H6,7.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99597,Valid,LL5,7.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99598,Valid,H5,3.7,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99599,Valid,LL5,4.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99600,Valid,H5,119.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99601,Valid,H5,166.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99602,Valid,L5,250.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99603,Valid,H5,156.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99604,Valid,H5,136.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99605,Valid,L5,315.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99606,Valid,L6,132.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99607,Valid,H5,164.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99608,Valid,L5,189.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99609,Valid,Eucrite-br,24.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99610,Valid,L6,59.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99611,Valid,L5,89.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99612,Valid,LL5,64.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99613,Valid,LL5,37.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99614,Valid,LL5,31.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99615,Valid,LL5,46.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99616,Valid,LL5,27.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99617,Valid,LL5,36.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99618,Valid,LL5,27,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99619,Valid,LL5,51.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99620,Valid,LL5,29.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99621,Valid,LL5,21.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99622,Valid,LL5,29.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99623,Valid,LL5,5.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99624,Valid,LL5,4.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99625,Valid,LL5,5.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99626,Valid,LL5,4.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99627,Valid,LL5,3.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99628,Valid,LL5,9.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99629,Valid,LL5,6.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99630,Valid,LL5,2.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99631,Valid,L5,1.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99632,Valid,LL5,1.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99633,Valid,LL5,1.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99634,Valid,H5,1.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99635,Valid,LL5,1.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99636,Valid,LL5,1.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99637,Valid,LL5,3.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99638,Valid,L5,5.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99639,Valid,LL5,3.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99640,Valid,L5,3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99641,Valid,LL5,4.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99642,Valid,LL5,20.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99643,Valid,LL5,4.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99644,Valid,LL5,2.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99645,Valid,L6,2.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99646,Valid,LL5,6.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99647,Valid,L5,18.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99648,Valid,LL5,18.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99649,Valid,LL5,1.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99650,Valid,LL5,1.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99651,Valid,LL5,3.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99652,Valid,LL5,2.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99653,Valid,LL5,4.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99654,Valid,LL5,5.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99655,Valid,LL5,2.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99656,Valid,LL5,3.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99657,Valid,LL5,1.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99658,Valid,Eucrite-unbr,8.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99659,Valid,LL5,7.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99660,Valid,LL5,10.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99661,Valid,LL5,2.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99662,Valid,LL5,12.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99663,Valid,LL5,24.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99664,Valid,LL5,4.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99665,Valid,LL5,6.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99666,Valid,LL5,10.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99667,Valid,LL5,10.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99668,Valid,LL5,15,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99669,Valid,LL5,34.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99670,Valid,H5,2.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99671,Valid,LL5,2.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99672,Valid,LL5,1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99673,Valid,LL5,2.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99674,Valid,LL5,1.14,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99675,Valid,CK4,1.7,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99676,Valid,CK4,1.7,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99677,Valid,CK4,1.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99678,Valid,CK4,1.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99679,Valid,CK4,3.7,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99680,Valid,CK5,15.7,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99681,Valid,CK5,4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99682,Valid,LL5,33.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99683,Valid,H5,43.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99684,Valid,L5,63.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99685,Valid,LL5,9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99686,Valid,LL5,18.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99687,Valid,LL5,11.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99688,Valid,LL6,10.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99689,Valid,LL5,7.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99690,Valid,LL5,2.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99691,Valid,LL5,2.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99692,Valid,LL5,3.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99693,Valid,LL5,2.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99694,Valid,LL5,3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99695,Valid,LL5,3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99696,Valid,LL5,1.7,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99697,Valid,H5,7.7,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99698,Valid,LL5,3.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99699,Valid,LL5,23.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99700,Valid,LL6,3.8,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99701,Valid,LL5,3.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99702,Valid,LL5,1.6,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99703,Valid,LL5,2.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99704,Valid,LL6,4.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99705,Valid,LL5,8.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99706,Valid,LL5,1.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99707,Valid,LL5,3.3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99708,Valid,LL5,1.9,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99709,Valid,LL5,3.1,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99710,Valid,LL5,8.4,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99711,Valid,LL5,5.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99712,Valid,LL5,5.2,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99713,Valid,LL5,1.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99714,Valid,LL5,3,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99715,Valid,LL5,2.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
Queen Alexandra Range 99716,Valid,LL5,2.5,Found,01/01/1999 12:00:00 AM,-84,168,"(-84.000000, 168.000000)"
